phone_full_name,phone_review_rating,phone_rate_number,phone_sale_price,phone_list_price,phone_discount,phone_brand,phone_dim,phone_weight,phone_ASIN,phone_model_numer,phone_batteries,phone_os,phone_ram,phone_wire_com_tech,phone_conn_tech,phone_is_GPS,phone_special_features,phone_display_tech,phone_other_display_features,phone_human_int_input,phone_scanner_res,phone_other_cam_features,phone_from_factor,phone_color,phone_batt_power_rating,phone_set,phone_manufacturer,phone_date,phone_mem_storage_cap,phone_standing_screen_display_size,phone_ram_memory_installed_size,phone_cust_rev_5_perc,phone_cust_rev_4_perc,phone_cust_rev_3_perc,phone_cust_rev_2_perc,phone_cust_rev_1_perc,phone_cust_say
"SAMSUNG Galaxy S23 FE AI Phone, 128GB Unlocked Android Smartphone, Long Battery Life, Premium Processor, Tough Gorilla Glass Display, Hi-Res 50MP Camera, US Version, 2023, Graphite",4.5,"1,411 ratings",$622.70,Sorry bro,0%,SAMSUNG,0.32 x 3.01 x 6.22 inches,10.8 ounces,B0CD9645MM,SM-S711UZAAXAA,1 Lithium Ion batteries required. (included),"One UI, Android 13.0",8 GB,"Bluetooth, Wi-Fi","Bluetooth, Wi-Fi, USB, NFC",True,"Fast Charging Support, Built-In GPS, Wireless Charging, Water Resistant",Sorry bro,Wireless,"Touchscreen, Microphone, Buttons","2340 x 1080 , Refresh Rate 120Hz, 1,500nits(peak)",Front,Bar,Graphite,4500 Milliamp Hours,"Galaxy S23 FE, SIM Tray Ejector, Charging Cable (USB type C) - Cable only, Quick Start Guide",Samsung,"October 26, 2023",128 GB,6.4 Inches,8 GB,5%,4%,Sorry bro,12%,Sorry bro,"{'Phone quality': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Picture quality': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Speed': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Ease of use': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Build quality': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'MIXED'}, 'Functionality': {'pos_rev': '149', 'neg_rev': '11', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy Z Fold 6 Silicone Phone Case, Protective Cover with Stand, Secure Grip, Slim, Soft, Comfortable Design, US Version, EF-MF956TJEGUS, Gray",2.9,82 ratings,$50.99,$84.99,40%,SAMSUNG,6 x 3 x 0.5 inches,2.39 ounces,B0D1W4FGPR,EF-MF956TJEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Lightweight,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Basic Case,Gray,Sorry bro,Sorry bro,Samsung,"July 10, 2024",Sorry bro,Sorry bro,Sorry bro,35%,14%,Sorry bro,Sorry bro,Sorry bro,"{'Color': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Feel': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Stand quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'MIXED'}, 'Durability': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Value for money': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Adhesive quality': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'NEGATIVE'}, 'Sturdiness': {'pos_rev': '3', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"SAMSUNG Galaxy S23 FE S-View Wallet Phone Case, Protective Cover with Card Holder Slot, Finger Tap Display Window, US Version, EF-ZS711CBEGUS, Black",4.5,79 ratings,$13.53,$14.99,10%,SAMSUNG,3.5 x 1.5 x 6.5 inches,3.84 ounces,B0CHFXMPYJ,EF-ZS711CBEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Samsung,"October 26, 2023",Sorry bro,Sorry bro,Sorry bro,Sorry bro,4%,Sorry bro,72%,Sorry bro,"{'Durability': {'pos_rev': '6', 'neg_rev': '1', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '6', 'neg_rev': '1', 'tone': 'POSITIVE'}, 'View window': {'pos_rev': '6', 'neg_rev': '1', 'tone': 'POSITIVE'}, 'Magnet security': {'pos_rev': '6', 'neg_rev': '1', 'tone': 'NEGATIVE'}}"
"Redmi Xiaomi 13 4G LTE (128GB + 6GB) Factory Unlocked Global ROM GSM 6.79"" 108MP Dual Camera (Tello Mint & Global) (Midnight Black (Global ROM))",4.5,2 ratings,$139.99,Sorry bro,0%,Xiaomi,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy S22 LED View Cover, Protective Phone Case, Tap Control, Card Pocket, Customizable, Shockproof, US Version, Black,EF-NS901PBEGUS",4.3,155 ratings,$20.23,$24.00,16%,SAMSUNG,5.88 x 3 x 0.57 inches,2.68 ounces,B09NB75388,EF-NS901PBEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Shock-Absorbent,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Flip,Black,Sorry bro,Cover,Samsung,"February 9, 2022",Sorry bro,Sorry bro,Sorry bro,5%,14%,3%,Sorry bro,Sorry bro,"{'Design': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Card capacity': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy Z Flip 6 Flipsuit Phone Case, Protective Cover with Interactive, Interchangeable Card, LED Lights, Customizable Designs Respond to Motion and Touch, US Version, EF-ZF741CTEGUS, Gray",4.1,89 ratings,$17.26,$59.99,71%,SAMSUNG,6 x 3 x 0.5 inches,2.08 ounces,B0D1W4RYHM,EF-ZF741CTEGUS,Sorry bro,Sorry bro,Sorry bro,Cellular,Sorry bro,Sorry bro,"Interactive Design, Interchangeable Cards, LED Lights, Customizable Designs, Motion/Touch Response",Sorry bro,Wireless,Touchscreen,Sorry bro,"Rear, Front",Basic Case,Gray,Sorry bro,Sorry bro,Samsung,"July 10, 2024",Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,3%,Sorry bro,Sorry bro,"{'Style': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Fun': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Durability': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Slimness': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'MIXED'}, 'Brightness': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'MIXED'}, 'Phone protection': {'pos_rev': '13', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
Tracfone Prepaid Sim Card Kit (Verizon Network),4.3,477 ratings,$7.99,$10.00,0%,TracFone,4 x 0.01 x 4 inches,0.634 ounces,B077RM9WJB,TFATKTMCNA-TRI,Sorry bro,SIM,Sorry bro,Cellular,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Sorry bro,White,Sorry bro,SIM,No,"November 26, 2017",Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,12%,1%,"{'Ease of installation': {'pos_rev': '7', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Sim card': {'pos_rev': '7', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '7', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '7', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '7', 'neg_rev': '0', 'tone': 'MIXED'}}"
"SAMSUNG Galaxy S9 (64GB, 4GB RAM) 5.8"" QHD+ Display, IP68 Water Resistance, 3000mAh Battery - GSM/CDMA Unlocked (AT&T/T-Mobile/Verizon/Sprint) w/US Warranty - SM-G960U (Midnight Black)",4.0,353 ratings,$118.00,$90.00,0%,SAMSUNG,6 x 4 x 4 inches,5.7 ounces,B07WVRJQ7V,SM-G960U,1 Lithium Ion batteries required. (included),Android 8,4 GB,Cellular,Bluetooth,True,Sorry bro,AMOLED,Wireless,Touchscreen,"2560 x 1440, 1440 x 2960","Rear, Front",Smartphone,black,Sorry bro,"Adapter, USB Cable",Samsung,"March 22, 2019",4 GB,5.8 Inches,4 GB,Sorry bro,Sorry bro,3%,12%,61%,"{'Phone quality': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Phone condition': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Ease of use': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'MIXED'}, 'Battery life': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'MIXED'}, 'Phone lock': {'pos_rev': '15', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
"Xiaomi Redmi 12 4G LTE (128GB + 4GB) Factory Global Unlocked 6.67"" 50mp Triple Camera (Tmobile Mint Tello Global) + Extra (w/Fast 51W Dual USB Car Charger Bundle) (Polar Silver + Car Charger)",4.2,48 ratings,$142.08,Sorry bro,0%,Xiaomi,Sorry bro,7 ounces,B0CB6WFZ1X,Redmi 12 4G LTE,1 Lithium Ion batteries required.,MIUI 14 based on Android 13,4 GB,Cellular,USB,True,4K Video Recording,Sorry bro,Wireless,Touchscreen,2460 x 1080,Rear,Smartphone,Polar Silver,5000 Milliampere Hour (mAh),"Fast Car Charger, Adapter, Phone Case, USB Cable",Xiaomi,"July 5, 2023",128 GB,6.79 Inches,4 GB,Sorry bro,4%,13%,12%,Sorry bro,{}
Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue,4.2,"2,839 ratings",$179.99,Sorry bro,0%,Motorola,6.69 x 2.99 x 0.35 inches,7.6 ounces,B09PFC2DVD,PAT40001US,1 Nonstandard Battery batteries required.,Android 10.0,6 GB,Cellular,"Bluetooth, Wi-Fi, USB",True,"Touchscreen, Bluetooth Enabled, Fast Charging Support, Expandable Memory, Octa Core Processor, Water Resistant, Video Calling, 6.8 display, Text/Messaging, 50MP Camera System, Camera, Fingerprint Sensor, Smartphone, Built-In GPS, Mobile Hotspot Capability",Sorry bro,Wireless,Touchscreen with Stylus Support,1080 x 2460,"Rear, Front",Slate,Blue,5000,USB Cable,No,"February 3, 2022",6 GB,6.8 Inches,6 GB,Sorry bro,64%,Sorry bro,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'POSITIVE'}, 'Stylus functionality': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'POSITIVE'}, 'Display quality': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'MIXED'}, 'Speed': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'MIXED'}, 'Wifi connectivity': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'NEGATIVE'}, 'Camera quality': {'pos_rev': '172', 'neg_rev': '46', 'tone': 'NEGATIVE'}}"
"Tracfone Motorola Moto g Pure, 32GB, Blue - Prepaid Smartphone (Locked)",4.2,"2,973 ratings",Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Motorola Moto G04s XT2421-7 4G/LTE Dual SIM, 6.56"" 90Hz Display, 128/4GB, Unlocked (Orange)",5.0,2 ratings,$98.08,Sorry bro,0%,Motorola,Sorry bro,11.2 ounces,B0DG9BCR5C,XT2421-7,1 Nonstandard Battery batteries required. (included),Android 14,Sorry bro,Cellular,Bluetooth,True,Internationally Sourced,Sorry bro,Wireless,Touchscreen,720 x 1612,Front,Bar,Orange,5000 Milliamp Hours,USB Cable,Motorola,"September 6, 2024",128 GB,6.56 Inches,4 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"Xiaomi Redmi Note 14 Pro 4G LTE (for Tmobile Mint Tello & Global) (256GB + 8GB) 6.67"" 120Hz 200MP AI Camera Model 24116RACCG Unlocked Dual Sim (Aurora Purple)",3.7,3 ratings,$274.99,$279.99,0%,Xiaomi,Sorry bro,14 ounces,B0DSQSFKHZ,24116RACCG,1 Lithium Polymer batteries required. (included),Hyper OS Based on Android 14,Sorry bro,Sorry bro,"2G, 3G, 4G",True,Dual SIM,Sorry bro,Wireless,Sorry bro,2400 x 1080,Sorry bro,Smartphone,Aurora Purple,5500 Milliamp Hours,"SIM Tray Ejector, Wall Adapter 45W, USB Cable",Xiaomi,"January 10, 2025",256 GB,6.67 Inches,8 GB,Sorry bro,34%,33%,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy Z Fold5 Slim S Pen Phone Case with Built-In New Compact S Pen, Holder and Storage Slot for Pen, Vibrant Color Options, US Version, EF-OF94PCUEGUS, Sand",4.3,172 ratings,$40.84,Sorry bro,0%,SAMSUNG,6.24 x 2.64 x 0.81 inches,1.58 ounces,B0C7CW5TB7,EF-OF94PCUEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Basic Case,Black,Sorry bro,Pouch,Samsung,"July 26, 2023",Sorry bro,Sorry bro,Sorry bro,Sorry bro,4%,Sorry bro,12%,Sorry bro,"{'Appearance': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Pen functionality': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Case quality': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Pen included': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Phone protection': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'MIXED'}, 'Pen slippage': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'MIXED'}, 'Value for money': {'pos_rev': '13', 'neg_rev': '2', 'tone': 'NEGATIVE'}}"
Apple iPhone 8 Plus 64GB Space Gray LTE Cellular MX8X2LL/A,4.1,112 ratings,$154.95,$799.00,0%,Sorry bro,6.24 x 0.3 x 3.07 inches,7.2 ounces,B0CK55NFNK,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Cellular,lightning,Sorry bro,Sorry bro,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Smartphone,gray,Sorry bro,"iPhone, Lightning to USB Cable, Adapter",Apple,"October 23, 2023",Sorry bro,Sorry bro,Sorry bro,65%,4%,13%,12%,Sorry bro,"{'Functionality': {'pos_rev': '10', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Phone condition': {'pos_rev': '10', 'neg_rev': '2', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '10', 'neg_rev': '2', 'tone': 'MIXED'}}"
Motorola Moto G Pure | 2021 | 2-Day Battery | for T-Mobile | Made for US 3/32GB | 13MP Camera | Deep Indigo,Sorry bro,Sorry bro,$59.99,$59.99,18%,Motorola,Sorry bro,Sorry bro,B0DK43TFX3,XT2163-4,1 Nonstandard Battery batteries required. (included),Android,Sorry bro,Sorry bro,"2G, 4G",False,Sorry bro,Sorry bro,Wireless,Sorry bro,720 x 1440,Sorry bro,Bar,Indigo,4000,"Phone, SIM Tray Ejector, Charger",Motorola,"October 15, 2024",32 GB,6.5 Inches,3 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"Motorola TurboPower 30 USB-C Charger with 1m USB-C to USB-C Cable for Moto G 2025, Moto G Power 2025, Moto G Power 5G 2024, G Stylus 5G 2024, Motorola Razr+ 2023/2024, Razr 2023/2024",4.7,"1,138 ratings",$29.99,$29.99,33%,Motorola,2.68 x 1.66 x 1.11 inches,2.3 ounces,B09H9ZCJNR,MC-301,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Salom Electric Co LTD,"October 31, 2021",Sorry bro,Sorry bro,Sorry bro,85%,Sorry bro,3%,Sorry bro,Sorry bro,"{'Fast charging': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Quality': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Build quality': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Cord length': {'pos_rev': '52', 'neg_rev': '0', 'tone': 'MIXED'}}"
"Xiaomi 13T Leica 5G (256GB+12GB) Global Version Worldwide Unlocked (for Tmobile Mint Tello Global) 50MP Triple Pro Leica Camera 6.67"" 144Mhz (Black)",4.2,193 ratings,$489.00,$489.00,22%,Xiaomi,3.94 x 1.97 x 0.5 inches,7.3 ounces,B0CJ375GXM,M12A,1 CR5 batteries required. (included),"MIUI 14, based on Android 13",12 GB,Cellular,Wi-Fi,True,Fast Charging Support,Sorry bro,Wireless,Touchscreen,2712 x 1220,Front,Smartphone,Black Global ROM,5000 Milliamp Hours,"Wall Charger, Adapter, Phone Case, Fast Car Charger 51W",No,"September 22, 2023",256 GB,6.67 Inches,12 GB,Sorry bro,Sorry bro,13%,Sorry bro,Sorry bro,{}
Xiaomi Redmi A3 4G Lte (for Tmobile Tello & Global) (128Gb + 4Gb) Global Rom Unlocked 6.71 8Mp Dual Camera (Midnight Black),3.6,6 ratings,$94.50,Sorry bro,0%,Xiaomi,Sorry bro,14 ounces,B0CXG7Q89P,Redmi A3,1 Lithium Polymer batteries required. (included),Android 14,3 GB,Cellular,USB,True,Dual SIM,Sorry bro,Wireless,Sorry bro,1650x720,"Rear, Front",Smartphone,Midnight Black,5000 Milliamp Hours,"Fast Car Charger 31W, Wall Charger, USB Cable",Xiaomi,"March 7, 2024",128 GB,6.71 Inches,4 GB,25%,54%,Sorry bro,Sorry bro,21%,{}
"Galaxy Z Flip 3 Phone Case, Silicone Protective Cover with Strap, Heavy Duty, Shockproof Smartphone Protector, US Version, Navy",4.6,614 ratings,$23.95,$23.95,29%,SAMSUNG,9.5 x 3.5 x 1 inches,2.12 ounces,B0977L5HHL,EF-GF711TNEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Samsung,"August 11, 2021",Sorry bro,Sorry bro,Sorry bro,Sorry bro,14%,Sorry bro,2%,Sorry bro,"{'Durability': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Look': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Grip': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Fit': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Comfort': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Strap size': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Ease of use': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}, 'Functionality': {'pos_rev': '20', 'neg_rev': '7', 'tone': 'POSITIVE'}}"
"SAMSUNG Galaxy Z Flip 6 AI Cell Phone + $200 Amazon Gift Card + Large Storage Launch Bundle, 512GB Unlocked Android Smartphone, FlexCam Camera, Photo Assist, Camcorder Mode, US Version, 2024, Mint",3.2,2 ratings,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SAMSUNG Galaxy S23+ Plus Silicone Phone Case, Protective Cover w/ Color Variety, Smooth Grip, Soft and Sleek Design, US Version, EF-PS916TNEGUS, Navy",4.4,35 ratings,$19.93,$19.93,10%,SAMSUNG,6.36 x 3.15 x 0.42 inches,1.76 ounces,B0BQ3NBTM7,EF-PS916TNEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Heavy Duty Protection,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Basic Case,Navy,Sorry bro,Case,SAMSUNG,"February 1, 2023",Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy S21 FE 5G Clear Slim Strap Cover, Protective Phone Case, Shockproof Smartphone Protector with 2 Detachable Straps, Secure Grip, US Version, Dark Gray",4.5,68 ratings,$6.49,$9.99,0%,SAMSUNG,7.5 x 4.25 x 0.75 inches,3.2 ounces,B0977MRWS4,EF-XG990CBEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Samsung,"January 11, 2022",Sorry bro,Sorry bro,Sorry bro,Sorry bro,4%,73%,Sorry bro,Sorry bro,{}
"Xiaomi Redmi 9A (64GB+4GB) 4G LTE Unlocked GSM 6.53"" (Not Verizon - Boost - Cricket - At&t) Dual Sim (Sky Blue)",4.5,"1,750 ratings",$113.90,Sorry bro,0%,Xiaomi,6.49 x 3.04 x 0.35 inches,6.9 ounces,B09N1T1LL6,redmi 9a,1 Lithium Ion batteries required.,Android 5.0,4 GB,"Bluetooth, Cellular, Wi-Fi",Wi-Fi,GLONASS,Sorry bro,Sorry bro,Wireless,"Touchscreen, Microphone",720 x 1600,Front,Slider,Sky Blue,5000 Milliampere Hour (mAh),Wall Charger,Xiaomi,"September 10, 2021",64 GB,6.53 Inches,Sorry bro,5%,4%,Sorry bro,2%,71%,{}
"SAMSUNG Galaxy Z Fold 4 Cell Phone, Factory Unlocked Android Smartphone, 1TB, Flex Mode, Hands Free Video, Multi Window View, Foldable Display, S Pen Compatible, US Version, Phantom Black",Sorry bro,Sorry bro,"$1,749.97",Sorry bro,0%,SAMSUNG,Sorry bro,1 pounds,B0BG379YML,Galaxy Z Fold4 (5G) 1TB,1 Lithium Polymer batteries required. (included),Android,12,Cellular,"2G, 3G, 4G, 5G",True,"Flex Mode, Hands Free Video",Sorry bro,Wireless,Touchscreen,1440 x 2560,"Rear, Front",Foldable Screen,Phantom Black,4400 Milliampere Hour (mAh),"USB Cable, Power Adapter",SAMUSNG,"September 30, 2022",1000 GB,7.6,12 GB,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
"SAMSUNG Galaxy S24 FE Wallet Phone Case, Protective Cover with Smart Small Screen View, Finger Tap Control, Slim Design, Card Holder Pocket, US Version, Mint",5.0,1 rating,$30.25,$30.25,9%,SAMSUNG,6.49 x 3.19 x 0.59 inches,2.4 ounces,B0DBRZCMY9,EF-ZS721CMEGUS,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Lightweight,Sorry bro,Wireless,Sorry bro,Sorry bro,Sorry bro,Basic Case,Mint,Sorry bro,Cleaning Cloth,SAMSUNG,"October 3, 2024",Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,Sorry bro,{}
T-Mobile | Revvl 6 5G | 64 GB | Blue (for T-Mobile),4.3,3 ratings,$86.64,$86.64,25%,T-Mobile,Sorry bro,1 pounds,B0BTB2Y9KP,REVVL6G5G-TMO,Sorry bro,Android 10.0,4,Sorry bro,Wi-Fi,True,Sorry bro,Sorry bro,Wireless,Sorry bro,1600 x 720,Front,Slate,for T-Mobile,4500,"SIM Tray Ejector, Adapter, USB Cable",T-Mobile,"January 28, 2023",64 GB,6.5 Inches,Sorry bro,Sorry bro,Sorry bro,Sorry bro,22%,Sorry bro,{}
Samsung Galaxy J3 (2016) J320V Verizon CDMA 4G LTE Quad-Core Phone w/ 8MP Camera- Black,3.7,46 ratings,$34.95,Sorry bro,0%,Samsung,2 x 0.4 x 7 inches,9.3 ounces,B01M9I83D2,SM-J320V,1 Lithium Ion batteries required.,google_android,1.5 GB,Cellular,Wi-Fi,False,Sorry bro,"Super AMOLED, LED",Wireless,Touchscreen,720 x 1280,Front,Smartphone,black,Sorry bro,Sorry bro,No,"October 31, 2016",16 GB,5 Inches,1.5 GB,5%,Sorry bro,Sorry bro,Sorry bro,51%,"{'Phone quality': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Phone speed': {'pos_rev': '6', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
Samsung Galaxy S10E G970U 128GB GSM Unlocked Android Phone (USA Version) - Prism White,4.0,213 ratings,$139.95,Sorry bro,0%,Samsung,10 x 7 x 3 inches,6.4 ounces,B07YBDZMRL,G970U,1 Lithium Ion batteries required. (included),Android 9.0,6 GB,Cellular,Wi-Fi,True,Sorry bro,"LED, AMOLED",Wireless,Touchscreen,2220 x 1080,Rear,Slate,White,Sorry bro,"Adapter, USB Cable",Samsung,"September 24, 2019",128 GB,5.8 Inches,Sorry bro,5%,14%,63%,Sorry bro,Sorry bro,"{'Phone quality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Durability': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Scratch resistance': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Speed': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Value for money': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'POSITIVE'}, 'Battery life': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}, 'Functionality': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'MIXED'}, 'Unlockability': {'pos_rev': '12', 'neg_rev': '0', 'tone': 'NEGATIVE'}}"
